data_point_id,bank,metric,period,unit,checksum_expected,checksum_note,px_value,px_source,px_comment,px_version,cl_value,cl_source,cl_comment,cl_version,reconciled_value,reconciliation_status,reconciliation_note
OCBC_NIMgroup_2021,OCBC,NIMgroup,2021,%,1.54,,1.54,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,1.54,OCBC FY21 Media Release,,20260716-001 CwClOpus4.8,1.54,match,
OCBC_NIMgroup_2022,OCBC,NIMgroup,2022,%,,,1.91,OCBC AR / Media Release (ocbc.com),Tier-1 primary; restated basis (SFRS(I) 17). Checksum 1.71 not found in any OCBC document; OCBC AR2022 & AR2023 both print 1.91. Bank value adopted per SOP.,20260716-001 PxClOpus4.8,1.91,OCBC FY23 Media Release (SFRS17-restated),,20260716-001 CwClOpus4.8,1.91,match,
OCBC_NIMgroup_2023,OCBC,NIMgroup,2023,%,,,2.28,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,2.28,OCBC FY23 Media Release,,20260716-001 CwClOpus4.8,2.28,match,
OCBC_NIMgroup_2024,OCBC,NIMgroup,2024,%,2.2,,2.2,OCBC AR / Media Release (ocbc.com),Tier-1 primary; group NIM as printed,20260716-001 PxClOpus4.8,2.2,OCBC FY25 Media Release,,20260716-001 CwClOpus4.8,2.2,match,
OCBC_NIMgroup_2025,OCBC,NIMgroup,2025,%,1.91,,1.91,OCBC AR / Media Release (ocbc.com),Tier-1 primary; OCBC FY25 Media Release prints 1.91%. Checksum 2.05 disagrees — checksum not found in OCBC docs; bank value adopted per SOP.,20260716-001 PxClOpus4.8,1.91,OCBC FY25 Media Release,,20260716-001 CwClOpus4.8,1.91,match,
UOB_NIMgroup_2016,UOB,NIMgroup,2016,%,,,1.71,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.71,UOB gp-financial 4Q17,,20260716-001 CwClOpus4.8,1.71,match,
UOB_NIMgroup_2017,UOB,NIMgroup,2017,%,,,1.77,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.77,UOB gp-financial 4Q17,,20260716-001 CwClOpus4.8,1.77,match,
UOB_NIMgroup_2018,UOB,NIMgroup,2018,%,,,1.82,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.82,UOB gp-financial 4Q19,,20260716-001 CwClOpus4.8,1.82,match,
UOB_NIMgroup_2019,UOB,NIMgroup,2019,%,,,1.78,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.78,UOB gp-financial 4Q19,,20260716-001 CwClOpus4.8,1.78,match,
UOB_NIMgroup_2020,UOB,NIMgroup,2020,%,1.57,,1.57,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.57,UOB cond FS 4Q21,,20260716-001 CwClOpus4.8,1.57,match,
UOB_NIMgroup_2021,UOB,NIMgroup,2021,%,1.56,,1.56,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.56,UOB cond FS 4Q21,,20260716-001 CwClOpus4.8,1.56,match,
UOB_NIMgroup_2022,UOB,NIMgroup,2022,%,1.86,,1.86,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.86,UOB cond FS 4Q23,,20260716-001 CwClOpus4.8,1.86,match,
UOB_NIMgroup_2023,UOB,NIMgroup,2023,%,2.09,,2.09,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,2.09,UOB cond FS 4Q23 / CFO deck,,20260716-001 CwClOpus4.8,2.09,match,
UOB_NIMgroup_2024,UOB,NIMgroup,2024,%,2.03,,2.0,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,2.03,UOB cond FS 4Q25,,20260716-001 CwClOpus4.8,2.03,match,
UOB_NIMgroup_2025,UOB,NIMgroup,2025,%,1.89,,1.89,UOB AR / Corp Factsheet / Financial Highlights,Tier-1 primary; group NIM as printed (as-originally-reported basis; AR2022 5-yr summary presents alt restated blended),20260716-001 PxClOpus4.8,1.89,UOB cond FS 4Q25,,20260716-001 CwClOpus4.8,1.89,match,
DBS_NII_2016,DBS,NII,2016,S$m,,,7305,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,7305,DBS 4Q17 Perf Summary,,20260716-001 CwClOpus4.8,7305.0,match,
DBS_NII_2017,DBS,NII,2017,S$m,,,7791,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,7791,DBS 4Q17 Perf Summary,,20260716-001 CwClOpus4.8,7791.0,match,
DBS_NII_2018,DBS,NII,2018,S$m,8960,,8955,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,8955,DBS 4Q19 Perf Summary,,20260716-001 CwClOpus4.8,8955.0,match,
DBS_NII_2019,DBS,NII,2019,S$m,,,9625,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9625,DBS 4Q19 Perf Summary,,20260716-001 CwClOpus4.8,9625.0,match,
DBS_NII_2020,DBS,NII,2020,S$m,,,9076,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9076,DBS 4Q21 Perf Summary,,20260716-001 CwClOpus4.8,9076.0,match,
DBS_NII_2021,DBS,NII,2021,S$m,,,8440,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,8440,DBS 4Q21 Perf Summary,,20260716-001 CwClOpus4.8,8440.0,match,
DBS_NII_2022,DBS,NII,2022,S$m,,,10941,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,10941,DBS 4Q23 Perf Summary (audited IS p24),,20260716-001 CwClOpus4.8,10941.0,match,
DBS_NII_2023,DBS,NII,2023,S$m,,,13642,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,13642,DBS 4Q23 Perf Summary (audited IS p24),,20260716-001 CwClOpus4.8,13642.0,match,
DBS_NII_2024,DBS,NII,2024,S$m,,,14424,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,14424,DBS 4Q25 Perf Summary,,20260716-001 CwClOpus4.8,14424.0,match,
DBS_NII_2025,DBS,NII,2025,S$m,14500,,14500,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,14500,DBS 4Q25 Perf Summary,,20260716-001 CwClOpus4.8,14500.0,match,
OCBC_NII_2016,OCBC,NII,2016,S$m,,,5052,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,5052,OCBC FY17 Financial Results,,20260716-001 CwClOpus4.8,5052.0,match,
OCBC_NII_2017,OCBC,NII,2017,S$m,,,5423,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,5423,OCBC FY17 Financial Results,,20260716-001 CwClOpus4.8,5423.0,match,
OCBC_NII_2018,OCBC,NII,2018,S$m,,,5890,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,5890,OCBC FY19 Financial Results,,20260716-001 CwClOpus4.8,5890.0,match,
OCBC_NII_2019,OCBC,NII,2019,S$m,,,6331,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,6331,OCBC FY19 Financial Results,,20260716-001 CwClOpus4.8,6331.0,match,
OCBC_NII_2020,OCBC,NII,2020,S$m,,,5966,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,5966,OCBC FY21 Media Release,,20260716-001 CwClOpus4.8,5966.0,match,
OCBC_NII_2021,OCBC,NII,2021,S$m,5860,,5855,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,5855,OCBC FY21 Media Release,,20260716-001 CwClOpus4.8,5855.0,match,
OCBC_NII_2022,OCBC,NII,2022,S$m,7690,,7688,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,7688,OCBC FY23 Media Release (SFRS17-restated),,20260716-001 CwClOpus4.8,7688.0,match,
OCBC_NII_2023,OCBC,NII,2023,S$m,,,9645,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9645,OCBC FY23 Media Release,,20260716-001 CwClOpus4.8,9645.0,match,
OCBC_NII_2024,OCBC,NII,2024,S$m,,,9755,OCBC AR / Media Release,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9755,OCBC FY25 Media Release,,20260716-001 CwClOpus4.8,9755.0,match,
OCBC_NII_2025,OCBC,NII,2025,S$m,9150,,9150,OCBC AR / Media Release,"Tier-1 primary; OCBC FY25 Media Release NII = 9,150. Checksum 10,000 disagrees; bank value adopted per SOP (NII fell as rates declined).",20260716-001 PxClOpus4.8,9150,OCBC FY25 Media Release,,20260716-001 CwClOpus4.8,9150.0,match,
UOB_NII_2016,UOB,NII,2016,S$m,,,4991,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,4991,UOB gp-financial 4Q17,,20260716-001 CwClOpus4.8,4991.0,match,
UOB_NII_2017,UOB,NII,2017,S$m,,,5528,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,5528,UOB gp-financial 4Q17,,20260716-001 CwClOpus4.8,5528.0,match,
UOB_NII_2018,UOB,NII,2018,S$m,,,6220,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,6220,UOB gp-financial 4Q19,,20260716-001 CwClOpus4.8,6220.0,match,
UOB_NII_2019,UOB,NII,2019,S$m,,,6562,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,6562,UOB gp-financial 4Q19,,20260716-001 CwClOpus4.8,6562.0,match,
UOB_NII_2020,UOB,NII,2020,S$m,,,6035,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,6035,UOB cond FS 4Q21,,20260716-001 CwClOpus4.8,6035.0,match,
UOB_NII_2021,UOB,NII,2021,S$m,6400,,6388,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,6388,UOB cond FS 4Q21,,20260716-001 CwClOpus4.8,6388.0,match,
UOB_NII_2022,UOB,NII,2022,S$m,8300,,8343,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,8343,UOB cond FS 4Q23,,20260716-001 CwClOpus4.8,8343.0,match,
UOB_NII_2023,UOB,NII,2023,S$m,9680,,9679,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9679,UOB cond FS 4Q23 / CFO deck,,20260716-001 CwClOpus4.8,9679.0,match,
UOB_NII_2024,UOB,NII,2024,S$m,,,9674,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9674,UOB cond FS 4Q25,,20260716-001 CwClOpus4.8,9674.0,match,
UOB_NII_2025,UOB,NII,2025,S$m,9360,,9355,UOB AR / Financial Highlights,Tier-1 primary; group NII as printed,20260716-001 PxClOpus4.8,9355,UOB cond FS 4Q25,,20260716-001 CwClOpus4.8,9355.0,match,
DBS_TotalIncome_2016,DBS,TotalIncome,2016,S$m,,,11489,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,11489,DBS 4Q17 Perf Summary,,20260716-001 CwClOpus4.8,11489.0,match,
DBS_TotalIncome_2017,DBS,TotalIncome,2017,S$m,,,11924,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,11924,DBS 4Q17 Perf Summary,,20260716-001 CwClOpus4.8,11924.0,match,
DBS_TotalIncome_2018,DBS,TotalIncome,2018,S$m,13200,,13183,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,13183,DBS 4Q19 Perf Summary,,20260716-001 CwClOpus4.8,13183.0,match,
DBS_TotalIncome_2019,DBS,TotalIncome,2019,S$m,,,14544,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,14544,DBS 4Q19 Perf Summary,,20260716-001 CwClOpus4.8,14544.0,match,
DBS_TotalIncome_2020,DBS,TotalIncome,2020,S$m,,,14592,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,14592,DBS 4Q21 Perf Summary,,20260716-001 CwClOpus4.8,14592.0,match,
DBS_TotalIncome_2021,DBS,TotalIncome,2021,S$m,14300,,14188,DBS AR five-year summary / 4Q Performance Summary,"Tier-1 primary; DBS AR 2021 prints 14,188 (checksum 14,297 disagrees; bank value adopted per SOP)",20260716-001 PxClOpus4.8,14297,DBS 4Q21 Perf Summary,,20260716-001 CwClOpus4.8,14297.0,match,
DBS_TotalIncome_2022,DBS,TotalIncome,2022,S$m,,,16502,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,16502,DBS 4Q23 Perf Summary (audited IS p24),,20260716-001 CwClOpus4.8,16502.0,match,
DBS_TotalIncome_2023,DBS,TotalIncome,2023,S$m,,,20180,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,20180,DBS 4Q23 Perf Summary (audited IS p24),,20260716-001 CwClOpus4.8,20180.0,match,
DBS_TotalIncome_2024,DBS,TotalIncome,2024,S$m,22300,,22297,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,22297,DBS 4Q25 Perf Summary,,20260716-001 CwClOpus4.8,22297.0,match,
DBS_TotalIncome_2025,DBS,TotalIncome,2025,S$m,22900,,22900,DBS AR five-year summary / 4Q Performance Summary,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,22900,DBS 4Q25 Perf Summary,,20260716-001 CwClOpus4.8,22900.0,match,
OCBC_TotalIncome_2016,OCBC,TotalIncome,2016,S$m,,,8489,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,8489,OCBC FY17 Financial Results,,20260716-001 CwClOpus4.8,8489.0,match,
OCBC_TotalIncome_2017,OCBC,TotalIncome,2017,S$m,,,9528,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,9636,OCBC FY17 Financial Results,,20260716-001 CwClOpus4.8,9636.0,match,
OCBC_TotalIncome_2018,OCBC,TotalIncome,2018,S$m,,,9701,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,9701,OCBC FY19 Financial Results,,20260716-001 CwClOpus4.8,9701.0,match,
OCBC_TotalIncome_2019,OCBC,TotalIncome,2019,S$m,,,10871,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,10871,OCBC FY19 Financial Results,,20260716-001 CwClOpus4.8,10871.0,match,
OCBC_TotalIncome_2020,OCBC,TotalIncome,2020,S$m,,,10139,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,10139,OCBC FY21 Media Release,,20260716-001 CwClOpus4.8,10139.0,match,
OCBC_TotalIncome_2021,OCBC,TotalIncome,2021,S$m,,,10596,OCBC AR / Media Release,"Tier-1 primary; OCBC AR 2021 prints 10,596. Checksum 10,900 disagrees; bank value adopted per SOP.",20260716-001 PxClOpus4.8,10596,OCBC FY21 Media Release,,20260716-001 CwClOpus4.8,10596.0,match,
OCBC_TotalIncome_2022,OCBC,TotalIncome,2022,S$m,,,11286,OCBC AR / Media Release,"Tier-1 primary; restated basis (SFRS(I) 17) = 11,286 (original 11,675); restated adopted per SOP.",20260716-001 PxClOpus4.8,11286,OCBC FY23 Media Release (SFRS17-restated),,20260716-001 CwClOpus4.8,11286.0,match,
OCBC_TotalIncome_2023,OCBC,TotalIncome,2023,S$m,,,13507,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,13507,OCBC FY23 Media Release,,20260716-001 CwClOpus4.8,13507.0,match,
OCBC_TotalIncome_2024,OCBC,TotalIncome,2024,S$m,,,14473,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,14473,OCBC FY25 Media Release,,20260716-001 CwClOpus4.8,14473.0,match,
OCBC_TotalIncome_2025,OCBC,TotalIncome,2025,S$m,14600,,14614,OCBC AR / Media Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,14614,OCBC FY25 Media Release,,20260716-001 CwClOpus4.8,14614.0,match,
UOB_TotalIncome_2016,UOB,TotalIncome,2016,S$m,,,8061,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,8061,UOB gp-financial 4Q17,,20260716-001 CwClOpus4.8,8061.0,match,
UOB_TotalIncome_2017,UOB,TotalIncome,2017,S$m,,,8851,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,8851,UOB gp-financial 4Q17,,20260716-001 CwClOpus4.8,8851.0,match,
UOB_TotalIncome_2018,UOB,TotalIncome,2018,S$m,,,9116,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,9116,UOB gp-financial 4Q19,,20260716-001 CwClOpus4.8,9116.0,match,
UOB_TotalIncome_2019,UOB,TotalIncome,2019,S$m,,,10030,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,10030,UOB gp-financial 4Q19,,20260716-001 CwClOpus4.8,10030.0,match,
UOB_TotalIncome_2020,UOB,TotalIncome,2020,S$m,,,9176,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,9176,UOB cond FS 4Q21,,20260716-001 CwClOpus4.8,9176.0,match,
UOB_TotalIncome_2021,UOB,TotalIncome,2021,S$m,9789,,9789,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,9789,UOB cond FS 4Q21,,20260716-001 CwClOpus4.8,9789.0,match,
UOB_TotalIncome_2022,UOB,TotalIncome,2022,S$m,11600,,11575,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,11575,UOB cond FS 4Q23,,20260716-001 CwClOpus4.8,11575.0,match,
UOB_TotalIncome_2023,UOB,TotalIncome,2023,S$m,,,13932,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,13932,UOB cond FS 4Q23 / CFO deck,,20260716-001 CwClOpus4.8,13932.0,match,
UOB_TotalIncome_2024,UOB,TotalIncome,2024,S$m,,,14294,UOB AR / Financial Highlights / News Release,Tier-1 primary; group total income as printed,20260716-001 PxClOpus4.8,14294,UOB cond FS 4Q25,,20260716-001 CwClOpus4.8,14294.0,match,
UOB_TotalIncome_2025,UOB,TotalIncome,2025,S$m,13800,poison-pill: NOT 12.0,13808,UOB AR / Financial Highlights / News Release,"Tier-1 primary; UOB FY25 News Release. Poison-pill AVOIDED: FY2025 TI = 13,808 (~S$13.8bn), NOT 12,000.",20260716-001 PxClOpus4.8,13808,UOB cond FS 4Q25,,20260716-001 CwClOpus4.8,13808.0,match,
DBS_NonII_2016,DBS,NonII,2016,S$m,,,4184,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,4184,DBS 4Q17 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,4184.0,match,
DBS_NonII_2017,DBS,NonII,2017,S$m,,,4133,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,4133,DBS 4Q17 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,4133.0,match,
DBS_NonII_2018,DBS,NonII,2018,S$m,,,4228,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,4228,DBS 4Q19 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,4228.0,match,
DBS_NonII_2019,DBS,NonII,2019,S$m,,,4919,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,4919,DBS 4Q19 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,4919.0,match,
DBS_NonII_2020,DBS,NonII,2020,S$m,,,5516,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,5516,DBS 4Q21 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,5516.0,match,
DBS_NonII_2021,DBS,NonII,2021,S$m,,,5748,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,5857,DBS 4Q21 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,5857,resolved,use cl; ties total-NII; px 5748 does not tie
DBS_NonII_2022,DBS,NonII,2022,S$m,,,5561,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,5561,DBS 4Q23 Perf Summary (audited IS p24),"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,5561.0,match,
DBS_NonII_2023,DBS,NonII,2023,S$m,,,6538,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,6538,DBS 4Q23 Perf Summary (audited IS p24),"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,6538.0,match,
DBS_NonII_2024,DBS,NonII,2024,S$m,,,7873,DBS AR five-year summary / 4Q Performance Summary (derived = TI−NII),derived = TI−NII; ties to bank-printed non-interest income,20260716-001 PxClOpus4.8,7873,DBS 4Q25 Perf Summary,"=Total-NII (derived, Claude)",20260716-001 CwClOpus4.8,7873.0,match,
